#name and id; xyz; rpy; lX; lY; lZ (all assumed to be boxes),,,,,,,,,
01_wall01,0.635,0,0.2,0,0,0,0.15,1.6,0.4
02_wall02,-0.635,0,0.2,0,0,0,0.15,1.6,0.4
03_wall03,0.635,0.4,0.5,0,0,0,0.15,0.8,0.2
04_wall04,-0.635,0.4,0.5,0,0,0,0.15,0.8,0.2
05_wall05,0.635,0.525,0.7,0,0,0,0.15,0.55,0.2
06_wall06,-0.635,0.525,0.7,0,0,0,0.15,0.55,0.2
07_wall07,0.76,0.725,0.4,0,0,0,0.4,0.15,0.8
08_wall08,-0.76,0.725,0.4,0,0,0,0.4,0.15,0.8
09_wall09,0.76,-0.65,0.2,0,0,0,0.4,0.15,0.4
10_wall10,-0.76,-0.65,0.2,0,0,0,0.4,0.15,0.4
11_2x6_1,0,-0.65,0.425,0,0,0,1.2,0.15,0.05
12_2x6_2,0,0.135,0.625,0,0,0,1.2,0.15,0.05
13_2x4_3,-0.46,-0.296,0.423,0.64,0,0,0.1,1.2,0.05
14_2x4_4,0.46,-0.296,0.423,0.64,0,0,0.1,1.2,0.05
15_4x4_1,-0.3,-0.38,0.34,-0.7,0,0,0.1,0.9,0.1
16_4x4_2,0.3,-0.38,0.34,-0.7,0,0,0.1,0.9,0.1
17_4x4_3,0.115,0.46,0.41,0,1.1,0,0.9,0.1,0.1
18_4x4_4,-0.115,30,0.41,0,-1.1,0,0.9,0.1,0.1
19_2x4_5,0.41,0.7,0.57,0,-1.2,0,1.2,0.05,0.1
20_2x4_6,-0.41,0.7,0.57,0,1.2,0,1.2,0.05,0.1
21_truss,0,0.05,0.1375,0,0,0,0.275,1.5,0.275
