# 1111 means can mirror another, 0000 means no plan to grasp (yet)
01_2x6_4,0,0,0,0
02_2x6_1,-0.540347,-0.75407,0.665468,1.57873
03_2x6_3,-1.02139,0.786952,0.665468,0.0288921
04_4x4x40_4,-0.540347,-0.75407,0.665468,1.57873
05_4x4x40_3,1,1,1,1
06_2x6_2,1,1,1,1
07_4x4x20_4,-0.960972,-0.0203827,0.665468,1.2619
08_4x4x20_3,1,1,1,1
09_2x4_4,-0.960972,-0.0203827,0.665468,1.2619
10_4x4x40_2,-1.00394,0.857179,0.665468,0.0567465
11_4x4x40_1,0.9928,0.464035,0.665468,-3.13813
12_2x4_3,-0.933072,0.356884,0.665468,1.42204
13_2x4_2,0,0,0,0
14_2x4_1,0,0,0,0
15_4x4x20_1,0,0,0,0
16_4x4x20_2,0,0,0,0
17_truss,0,0,0,0
18_SideWall_1,0,0,0,0
19_SideWall_2,0,0,0,0
20_Doorway,0,0,0,0,0
